game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Pokémon FireRed / LeafGreen,Game Boy Advance,Tilesets,Animated Tiles,sprite_animated_tiles,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/164543/,blackguymeme,Kepler27,"November 9, 2021",PNG (image/png),11.09 KB (269x390),sprite_animated_tiles.png,2026-07-23T02:19:32.361945+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,Tilesets,Buildings,sprite_buildings,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3849/,,EternalDarkWing,"A long, long time ago",PNG (image/png),39.99 KB (754x521),sprite_buildings.png,2026-07-23T02:19:35.994771+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,Tilesets,Tileset,sprite_tileset,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3870/,Hoeloe,,"A long, long time ago",PNG (image/png),155.28 KB (300x450),sprite_tileset.png,2026-07-23T02:19:39.665582+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,Tilesets,Tileset 1,sprite_tileset_1,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3862/,,fabnt,"A long, long time ago",PNG (image/png),142.27 KB (1096x1090),sprite_tileset_1.png,2026-07-23T02:19:43.277338+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,Tilesets,Tileset 2,sprite_tileset_2,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3863/,,fabnt,"A long, long time ago",PNG (image/png),104.45 KB (477x800),sprite_tileset_2.png,2026-07-23T02:19:47.012423+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Bill's House,sprite_bill_s_house,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3729/,,Sam Webster,"A long, long time ago",PNG (image/png),12.77 KB (250x200),sprite_bill_s_house.png,2026-07-23T02:22:19.730142+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Celadon City,sprite_celadon_city,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3768/,FrenchOrange,,"A long, long time ago",PNG (image/png),244.59 KB (1472x1344),sprite_celadon_city.png,2026-07-23T02:22:23.806621+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Celadon Department Store,sprite_celadon_department_store,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/23608/,Axmarrone,,"A long, long time ago",PNG (image/png),76.96 KB (774x1426),sprite_celadon_department_store.png,2026-07-23T02:22:27.595514+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Cerulean City,sprite_cerulean_city,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3769/,FrenchOrange,,"A long, long time ago",PNG (image/png),145.25 KB (1496x672),sprite_cerulean_city.png,2026-07-23T02:22:31.396948+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Cinnabar Island,sprite_cinnabar_island,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3778/,FrenchOrange,,"A long, long time ago",PNG (image/png),85.49 KB (1205x632),sprite_cinnabar_island.png,2026-07-23T02:22:35.179461+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Five Island,sprite_five_island,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3785/,FrenchOrange,,"A long, long time ago",PNG (image/png),38.16 KB (648x360),sprite_five_island.png,2026-07-23T02:22:38.868175+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Four Island,sprite_four_island,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3784/,FrenchOrange,,"A long, long time ago",PNG (image/png),130.53 KB (1232x672),sprite_four_island.png,2026-07-23T02:22:42.651082+00:00
Pokémon FireRed / LeafGreen,Game Boy Advance,"Maps (Towns, Buildings, Etc.)",Fuchsia City,sprite_fuchsia_city,https://www.spriters-resource.com/game_boy_advance/pokemonfireredleafgreen/asset/3776/,FrenchOrange,,"A long, long time ago",PNG (image/png),141.14 KB (1496x672),sprite_fuchsia_city.png,2026-07-23T02:22:46.424496+00:00
